46.4.123.15#4#2#Malicious Host#DE##51.0,9.0#3
183.203.220.184#4#3#Malicious Host#CN##35.0,105.0#3
141.212.122.200#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.192#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
123.249.76.107#4#2#Malicious Host#CN#Shenzhen#22.5333003998,114.133300781#3
111.140.21.70#4#3#Malicious Host#CN#Beijing#39.9289016724,116.388298035#3
112.124.52.142#4#2#Malicious Host#CN#Hangzhou#30.2936000824,120.161399841#3
116.226.184.53#4#3#Malicious Host#CN#Shanghai#31.0456008911,121.39969635#3
119.10.3.144#4#2#Malicious Host#CN#Beijing#39.9289016724,116.388298035#3
114.215.165.161#4#2#Malicious Host#CN#Hangzhou#30.2936000824,120.161399841#3
107.172.23.111#4#2#Malicious Host#US#Buffalo#42.9864006042,-78.727897644#3
104.223.17.29#4#2#Malicious Host#US#Los Angeles#34.043800354,-118.251197815#3
141.212.122.206#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
141.212.122.197#4#2#Malicious Host#US#Ann Arbor#42.292301178,-83.7145004272#3
112.5.236.205#4#3#Malicious Host#CN#Fuzhou#26.0613994598,119.306098938#3
110.38.142.72#4#3#Malicious Host#PK##30.0,70.0#3
180.97.215.80#4#2#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
124.161.187.177#4#3#Malicious Host#CN#Chengdu#30.6667003632,104.066703796#3
122.228.177.28#4#2#Malicious Host#CN#Hangzhou#30.2936000824,120.161399841#3
68.235.56.86#6#2#Spamming#US#Albuquerque#35.0694007874,-106.577400208#12
66.193.8.87#6#2#Spamming#US##38.0,-97.0#12
5.254.99.134#4#2#Malicious Host#RO#Craiova#44.3166999817,23.7999992371#3
81.7.92.31#4#3#Malicious Host#LT#Vilnius#54.6833000183,25.3166999817#3
111.72.252.91#4#3#Malicious Host#CN#Nanchang#28.5499992371,115.933296204#3
180.173.205.76#4#3#Malicious Host#CN#Shanghai#31.0456008911,121.39969635#3
169.54.233.123#4#3#Malicious Host#US##38.0,-97.0#3
14.160.23.169#4#3#Malicious Host#VN#Hanoi#21.0333003998,105.849998474#3
61.162.223.25#4#2#Malicious Host#CN#Jinan#36.6683006287,116.997200012#3
61.147.103.162#4#3#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
40.118.65.244#4#2#Malicious Host#NL#Amsterdam#52.3499984741,4.91669988632#3
69.64.34.29#4#2#Malicious Host#US#Saint Louis#38.6311988831,-90.192199707#3
119.10.151.33#4#2#Malicious Host#HK#Cheung Sha Wan#22.2332992554,114.0#3
211.144.68.132#4#2#Malicious Host#CN#Shanghai#31.0456008911,121.39969635#3
213.240.239.248#4#2#Malicious Host#BG##42.7000007629,23.3332996368#3
121.130.252.118#4#3#Malicious Host#KR##37.5699996948,126.980003357#3
118.192.162.95#4#2#Malicious Host#CN#Beijing#39.9289016724,116.388298035#3
180.97.239.30#4#2#Malicious Host#CN#Nanjing#32.0616989136,118.777801514#3
89.152.208.64#4#4#Malicious Host#PT#Porto#41.1496009827,-8.61100006104#3
